Point Number , Temperature ,Uncertainty
0,68.806767,0.07835138
1,68.789168,0.078331282
2,68.736369,0.078270986
3,68.753969,0.078291085
4,68.789168,0.078331282
5,69.03556,0.078612661
6,68.736369,0.078270986
7,69.03556,0.078612661
8,69.053159,0.078632759
9,68.665972,0.078190593
10,69.070758,0.078652857
11,68.665972,0.078190593
12,68.683571,0.078210691
13,68.648372,0.078170493
14,68.648372,0.078170493
15,68.630773,0.078150395
16,68.613173,0.078130296
17,68.613173,0.078130296
18,68.613173,0.078130296
19,68.577975,0.0780901
20,68.577975,0.0780901
21,68.577975,0.0780901
22,68.560375,0.078070001
23,68.929963,0.078492069
24,68.912364,0.078471971
25,68.489978,0.077989608
26,68.824367,0.078371479
27,68.877165,0.078431774
28,68.489978,0.077989608
29,68.489978,0.077989608
30,68.454779,0.077949411
31,68.806767,0.07835138
32,68.41958,0.077909214
33,68.437179,0.077929312
34,68.771568,0.078311183
35,68.806767,0.07835138
36,68.384381,0.077869017
37,68.384381,0.077869017
38,68.366782,0.077848919
39,68.71877,0.078250888
40,68.331583,0.077808721
41,68.313983,0.077788622
42,68.349182,0.077828819
43,68.296384,0.077768524
44,68.665972,0.078190593
45,68.278785,0.077748426
46,68.648372,0.078170493
47,68.648372,0.078170493
48,68.225986,0.07768813
49,68.208387,0.077668032
50,68.577975,0.0780901
51,68.243586,0.077708229
52,68.560375,0.078070001
53,68.190787,0.077647933
54,68.542776,0.078049903
55,68.137989,0.077587638
56,68.10279,0.077547441
57,68.12039,0.07756754
58,68.10279,0.077547441
59,68.10279,0.077547441
60,68.384381,0.077869017
61,68.10279,0.077547441
62,68.067591,0.077507243
63,68.049992,0.077487145
64,68.41958,0.077909214
65,68.40198,0.077889115
66,68.366782,0.077848919
67,68.349182,0.077828819
68,68.261185,0.077728327
69,67.961995,0.077386653
70,67.926796,0.077346456
71,67.926796,0.077346456
72,68.296384,0.077768524
73,67.873998,0.077286161
74,68.278785,0.077748426
75,68.296384,0.077768524
76,68.261185,0.077728327
77,68.137989,0.077587638
78,67.838799,0.077245964
79,67.8212,0.077225866
80,68.137989,0.077587638
81,68.155589,0.077607737
82,68.173188,0.077627835
83,67.786001,0.077185669
84,68.12039,0.07756754
85,67.750802,0.077145472
86,67.979594,0.077406751
87,67.715603,0.077105274
88,68.10279,0.077547441
89,67.662805,0.077044979
90,67.645205,0.07702488
91,67.662805,0.077044979
92,68.032393,0.077467047
93,67.557208,0.076924388
94,67.627606,0.077004782
95,67.592407,0.076964585
96,67.592407,0.076964585
97,67.8036,0.077205767
98,67.574808,0.076944487
99,67.873998,0.077286161
100,67.50441,0.076864093
101,67.786001,0.077185669
102,67.838799,0.077245964
103,67.469211,0.076823896
104,67.768401,0.07716557
105,67.451612,0.076803798
106,67.434012,0.076783699
107,67.8036,0.077205767
108,67.944396,0.077366555
109,67.733203,0.077125374
110,67.346015,0.076683206
111,67.346015,0.076683206
112,67.328416,0.076663108
113,67.310816,0.076643009
114,67.522009,0.076884191
115,67.627606,0.077004782
116,67.592407,0.076964585
117,67.557208,0.076924388
118,67.240419,0.076562616
119,67.240419,0.076562616
120,67.50441,0.076864093
121,67.557208,0.076924388
122,67.187621,0.076502321
123,67.50441,0.076864093
124,67.152422,0.076462124
125,67.152422,0.076462124
126,67.099623,0.076401828
127,67.381214,0.076723403
128,67.434012,0.076783699
129,67.522009,0.076884191
130,67.029226,0.076321435
131,67.011626,0.076301335
132,67.029226,0.076321435
133,67.381214,0.076723403
134,66.976428,0.07626114
135,66.941229,0.076220942
136,66.941229,0.076220942
137,66.853232,0.07612045
138,66.90603,0.076180745
139,67.258018,0.076582714
140,67.275618,0.076602813
141,67.152422,0.076462124
142,66.835632,0.076100351
143,66.800433,0.076060154
144,66.818033,0.076080253
145,66.800433,0.076060154
146,67.170021,0.076482222
147,66.730036,0.075979761
148,66.747635,0.075999859
149,66.730036,0.075979761
150,67.064425,0.076361632
151,67.029226,0.076321435
152,66.659638,0.075899367
153,67.029226,0.076321435
154,66.60684,0.075839072
155,66.923629,0.076200843
156,66.536442,0.075758677
157,66.571641,0.075798874
158,66.571641,0.075798874
159,66.88843,0.076160646
160,66.870831,0.076140548
161,66.518843,0.075738579
162,66.870831,0.076140548
163,66.677237,0.075919465
164,66.430846,0.075638087
165,66.448445,0.075658185
166,66.448445,0.075658185
167,66.395647,0.07559789
168,66.395647,0.07559789
169,66.694837,0.075939564
170,66.342849,0.075537595
171,66.342849,0.075537595
172,66.30765,0.075497398
173,66.642039,0.075879269
174,66.29005,0.075477299
175,66.254852,0.075437103
176,66.624439,0.07585917
177,66.58924,0.075818972
178,66.202053,0.075376807
179,66.184454,0.075356709
180,66.554042,0.075778777
181,66.131656,0.075296414
182,66.131656,0.075296414
183,66.131656,0.075296414
184,66.501243,0.07571848
185,66.061258,0.075216019
186,66.078857,0.075236117
187,66.413246,0.075617988
188,66.342849,0.075537595
189,66.342849,0.075537595
190,66.378047,0.075577791
191,65.973261,0.075115527
192,66.254852,0.075437103
193,65.938062,0.07507533
194,66.202053,0.075376807
195,65.867664,0.074994936
196,65.867664,0.074994936
197,66.219653,0.075396906
198,66.237252,0.075417004
199,65.797267,0.074914543
200,66.184454,0.075356709
201,65.779667,0.074894444
202,65.762068,0.074874346
203,65.762068,0.074874346
204,66.078857,0.075236117
205,66.043659,0.075195921
206,65.674071,0.074773854
207,66.078857,0.075236117
208,66.043659,0.075195921
209,66.00846,0.075155724
210,65.621273,0.074713559
211,65.603673,0.07469346
212,65.99086,0.075135625
213,65.550875,0.074633165
214,65.568474,0.074653263
215,65.515676,0.074592967
216,65.832466,0.07495474
217,65.498077,0.074572869
218,65.445278,0.074512573
219,65.850065,0.074974838
220,65.427679,0.074492475
221,65.445278,0.074512573
222,65.41008,0.074472377
223,65.41008,0.074472377
224,65.744469,0.074854248
225,65.374881,0.07443218
226,65.322083,0.074371885
227,65.726869,0.074834149
228,65.322083,0.074371885
229,65.638872,0.074733657
230,65.251685,0.074291491
231,65.234086,0.074271393
232,65.234086,0.074271393
233,65.603673,0.07469346
234,65.216486,0.074251294
235,65.181287,0.074211097
236,65.163688,0.074190999
237,65.515676,0.074592967
238,65.533276,0.074613067
239,65.515676,0.074592967
240,65.022893,0.074030212
241,65.058091,0.074070408
242,65.040492,0.07405031
243,65.058091,0.074070408
244,65.005293,0.074010113
245,65.234086,0.074271393
246,65.339682,0.074391983
247,65.216486,0.074251294
248,64.970094,0.073969916
249,65.234086,0.074271393
250,65.11089,0.074130704
251,64.899697,0.073889523
252,65.234086,0.074271393
253,64.899697,0.073889523
254,64.829299,0.073809129
255,64.864498,0.073849326
256,64.8117,0.073789031
257,64.846898,0.073829227
258,64.776501,0.073748834
259,65.146088,0.0741709
260,65.022893,0.074030212
261,64.741302,0.073708636
262,65.058091,0.074070408
263,65.234086,0.074271393
264,64.688504,0.073648341
265,64.670904,0.073628242
266,64.653305,0.073608144
267,64.653305,0.073608144
268,64.582907,0.07352775
269,64.917296,0.073909621
270,64.970094,0.073969916
271,64.899697,0.073889523
272,64.565308,0.073507652
273,64.882097,0.073869424
274,64.530109,0.073467455
275,64.49491,0.073427258
276,64.49491,0.073427258
277,64.49491,0.073427258
278,64.459711,0.073387061
279,64.776501,0.073748834
280,64.406913,0.073326766
281,64.7941,0.073768932
282,64.670904,0.073628242
283,64.371714,0.073286569
284,64.336516,0.073246373
285,64.336516,0.073246373
286,64.706103,0.073668439
287,64.618106,0.073567947
288,64.283717,0.073186077
289,64.283717,0.073186077
290,64.283717,0.073186077
291,64.635706,0.073588046
292,64.547708,0.073487553
293,64.547708,0.073487553
294,64.51251,0.073447357
295,64.459711,0.073387061
296,64.51251,0.073447357
297,64.142922,0.07302529
298,64.51251,0.073447357
299,64.142922,0.07302529
300,64.142922,0.07302529
301,64.090124,0.072964995
302,64.125323,0.073005192
303,64.406913,0.073326766
304,64.354115,0.073266471
305,64.336516,0.073246373
306,64.406913,0.073326766
307,64.037326,0.0729047
308,64.002127,0.072864503
309,63.984527,0.072844404
310,64.002127,0.072864503
311,63.966928,0.072824306
312,64.248519,0.073145881
313,64.283717,0.073186077
314,63.931729,0.072784109
315,63.89653,0.072743912
316,64.21332,0.073105684
317,64.424513,0.073346865
318,63.878931,0.072723814
319,64.178121,0.073065487
320,64.160521,0.073045388
321,63.843732,0.072683617
322,63.826133,0.072663519
323,64.19572,0.073085585
324,64.072524,0.072944896
325,64.160521,0.073045388
326,63.773334,0.072603223
327,63.738136,0.072563027
328,63.738136,0.072563027
329,63.738136,0.072563027
330,64.107723,0.072985093
331,63.720536,0.072542928
332,63.685337,0.072502731
333,64.019726,0.072884601
334,64.037326,0.0729047
335,63.702937,0.07252283
336,63.632539,0.072442436
337,63.632539,0.072442436
338,63.984527,0.072844404
339,63.632539,0.072442436
340,63.61494,0.072422338
341,63.826133,0.072663519
342,63.949329,0.072804208
343,63.579741,0.072382141
344,63.59734,0.072402239
345,63.966928,0.072824306
346,63.843732,0.072683617
347,63.509343,0.072301747
348,63.509343,0.072301747
349,63.826133,0.072663519
350,63.491744,0.072281649
