Point Number , Temperature ,Uncertainty,,,,,
0,54.234461,0.061709928,,,,,
1,54.234461,0.061709928,,,,,
2,54.56885,0.062091795,,,,,
3,54.56885,0.062091795,,,,,
4,54.586449,0.062111893,,,,,
5,54.287259,0.061770222,,,,,
6,54.674446,0.062212384,,,,,
7,54.322458,0.061810419,,,,,
8,54.322458,0.061810419,,,,,
9,54.340057,0.061830517,,,,,
10,54.797642,0.062353072,,,,,
11,54.357657,0.061850616,,,,,
12,54.322458,0.061810419,,,,,
13,54.727244,0.062272679,,,,,
14,54.357657,0.061850616,,,,,
15,54.375256,0.061870714,,,,,
16,54.674446,0.062212384,,,,,
17,54.357657,0.061850616,,,,,
18,54.920837,0.062493759,,,,,
19,54.410455,0.06191091,,,,,
20,54.445654,0.061951107,,,,,
21,54.428054,0.061931008,,,,,
22,54.410455,0.06191091,,,,,
23,54.815241,0.06237317,,,,,
24,54.780042,0.062332973,,,,,
25,54.463253,0.061971205,,,,,
26,54.762443,0.062312875,,,,,
27,54.815241,0.06237317,,,,,
28,54.480853,0.061991304,,,,,
29,54.83284,0.062393268,,,,,
30,54.868039,0.062433465,,,,,
31,54.868039,0.062433465,,,,,
32,54.516051,0.062031499,,,,,
33,54.868039,0.062433465,,,,,
34,54.516051,0.062031499,,,,,
35,54.868039,0.062433465,,,,,
36,54.868039,0.062433465,,,,,
37,54.55125,0.062071696,,,,,
38,54.868039,0.062433465,,,,,
39,54.920837,0.062493759,,,,,
40,54.586449,0.062111893,,,,,
41,54.885638,0.062453562,,,,,
42,55.114431,0.062714841,,,,,
43,54.586449,0.062111893,,,,,
44,54.604048,0.062131991,,,,,
45,54.56885,0.062091795,,,,,
46,54.621648,0.06215209,,,,,
47,54.533651,0.062051598,,,,,
48,54.639247,0.062172187,,,,,
49,54.621648,0.06215209,,,,,
50,54.604048,0.062131991,,,,,
51,54.639247,0.062172187,,,,,
52,54.621648,0.06215209,,,,,
53,54.656846,0.062192285,,,,,
54,54.656846,0.062192285,,,,,
55,54.639247,0.062172187,,,,,
56,54.674446,0.062212384,,,,,
57,54.938437,0.062513858,,,,,
58,54.656846,0.062192285,,,,,
59,54.656846,0.062192285,,,,,
60,54.692045,0.062232482,,,,,
61,54.692045,0.062232482,,,,,
62,54.692045,0.062232482,,,,,
63,54.868039,0.062433465,,,,,
64,54.83284,0.062393268,,,,,
65,54.709645,0.062252581,,,,,
66,54.727244,0.062272679,,,,,
67,54.744843,0.062292776,,,,,
68,55.167229,0.062775135,,,,,
69,55.079232,0.062674644,,,,,
70,54.744843,0.062292776,,,,,
71,54.744843,0.062292776,,,,,
72,54.744843,0.062292776,,,,,
73,55.079232,0.062674644,,,,,
74,55.079232,0.062674644,,,,,
75,55.13203,0.062734939,,,,,
76,55.13203,0.062734939,,,,,
77,54.920837,0.062493759,,,,,
78,54.762443,0.062312875,,,,,
79,54.780042,0.062332973,,,,,
80,54.815241,0.06237317,,,,,
81,55.044033,0.062634447,,,,,
82,54.762443,0.062312875,,,,,
83,54.797642,0.062353072,,,,,
84,55.343223,0.062976118,,,,,
85,54.797642,0.062353072,,,,,
86,54.815241,0.06237317,,,,,
87,55.167229,0.062775135,,,,,
88,55.114431,0.062714841,,,,,
89,55.184828,0.062795233,,,,,
90,54.815241,0.06237317,,,,,
91,54.815241,0.06237317,,,,,
92,55.343223,0.062976118,,,,,
93,54.868039,0.062433465,,,,,
94,55.308024,0.062935921,,,,,
95,55.167229,0.062775135,,,,,
96,55.167229,0.062775135,,,,,
97,54.868039,0.062433465,,,,,
98,54.815241,0.06237317,,,,,
99,54.85044,0.062413367,,,,,
100,54.868039,0.062433465,,,,,
101,55.184828,0.062795233,,,,,
102,55.202427,0.062815331,,,,,
103,54.85044,0.062413367,,,,,
104,55.202427,0.062815331,,,,,
105,54.868039,0.062433465,,,,,
106,55.220027,0.06283543,,,,,
107,54.85044,0.062413367,,,,,
108,54.885638,0.062453562,,,,,
109,55.13203,0.062734939,,,,,
110,54.868039,0.062433465,,,,,
111,54.903238,0.062473661,,,,,
112,55.237626,0.062855528,,,,,
113,54.920837,0.062493759,,,,,
114,54.797642,0.062353072,,,,,
115,54.868039,0.062433465,,,,,
116,54.868039,0.062433465,,,,,
117,54.885638,0.062453562,,,,,
118,54.868039,0.062433465,,,,,
119,54.903238,0.062473661,,,,,
120,55.202427,0.062815331,,,,,
121,55.308024,0.062935921,,,,,
122,55.378421,0.063016314,,,,,
123,55.290424,0.062915822,,,,,
124,54.903238,0.062473661,,,,,
125,54.885638,0.062453562,,,,,
126,55.343223,0.062976118,,,,,
127,54.903238,0.062473661,,,,,
128,55.255226,0.062875627,,,,,
129,54.920837,0.062493759,,,,,
130,54.885638,0.062453562,,,,,
131,55.308024,0.062935921,,,,,
132,54.885638,0.062453562,,,,,
133,54.868039,0.062433465,,,,,
134,54.903238,0.062473661,,,,,
135,55.290424,0.062915822,,,,,
136,55.184828,0.062795233,,,,,
137,54.920837,0.062493759,,,,,
138,55.220027,0.06283543,,,,,
139,55.290424,0.062915822,,,,,
140,54.885638,0.062453562,,,,,
141,54.920837,0.062493759,,,,,
142,54.920837,0.062493759,,,,,
143,54.938437,0.062513858,,,,,
144,55.202427,0.062815331,,,,,
145,55.308024,0.062935921,,,,,
146,54.903238,0.062473661,,,,,
147,55.237626,0.062855528,,,,,
148,54.885638,0.062453562,,,,,
149,54.885638,0.062453562,,,,,
150,55.255226,0.062875627,,,,,
151,54.885638,0.062453562,,,,,
152,54.868039,0.062433465,,,,,
153,55.272825,0.062895724,,,,,
154,54.885638,0.062453562,,,,,
155,55.220027,0.06283543,,,,,
156,54.885638,0.062453562,,,,,
157,55.184828,0.062795233,,,,,
158,55.167229,0.062775135,,,,,
159,54.868039,0.062433465,,,,,
160,54.85044,0.062413367,,,,,
161,54.903238,0.062473661,,,,,
162,55.220027,0.06283543,,,,,
163,55.290424,0.062915822,,,,,
164,54.885638,0.062453562,,,,,
165,54.885638,0.062453562,,,,,
166,54.885638,0.062453562,,,,,
167,54.85044,0.062413367,,,,,
168,54.868039,0.062433465,,,,,
169,55.184828,0.062795233,,,,,
170,54.797642,0.062353072,,,,,
171,55.220027,0.06283543,,,,,
172,54.868039,0.062433465,,,,,
173,54.85044,0.062413367,,,,,
174,54.85044,0.062413367,,,,,
175,54.83284,0.062393268,,,,,
176,55.202427,0.062815331,,,,,
177,55.220027,0.06283543,,,,,
178,54.868039,0.062433465,,,,,
179,55.237626,0.062855528,,,,,
180,55.184828,0.062795233,,,,,
181,54.815241,0.06237317,,,,,
182,54.83284,0.062393268,,,,,
183,54.991235,0.062574153,,,,,
184,54.83284,0.062393268,,,,,
185,55.096831,0.062694742,,,,,
186,54.83284,0.062393268,,,,,
187,54.973635,0.062554054,,,,,
188,54.815241,0.06237317,,,,,
189,54.762443,0.062312875,,,,,
190,55.220027,0.06283543,,,,,
191,55.308024,0.062935921,,,,,
192,54.815241,0.06237317,,,,,
193,55.149629,0.062755036,,,,,
194,54.762443,0.062312875,,,,,
195,55.114431,0.062714841,,,,,
196,54.762443,0.062312875,,,,,
